"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"F7BNPXHU","journalArticle","2018","Strickland, Jasmin A.; Austen, Joseph M.; Sanderson, David J.","A biphasic reduction in a measure of palatability following sucrose consumption in mice","Physiology & Behavior","","0031-9384","https://doi.org/10.1016/j.physbeh.2017.11.019","http://www.sciencedirect.com/science/article/pii/S0031938417304109","Consumption of foods results in a transient reduction in hedonic value that influences the extent and nature of feeding behavior. The time course of this effect, however, is poorly specified. In an initial experiment, using an analysis of the microstructure of licking in mice we found that consumption of sucrose led to a rapid reduction in lick cluster size, a measure of palatability, which recovered after 10 min, but reemerged 60min after initial consumption. We then replicated the finding that lick cluster size is reduced after 60min, but not 10min, under conditions in which a number of potential behavioural confounds were removed. In Experiment 2 the effect was replicated using a between-subjects design that ruled out the possibility that the effect was a specific consequence of the within-subjects procedures used in the first experiment, in which mice may have come to expect sucrose at different time points within the feeding session. While Experiments 1 and 2 confounded the time between periods of access to sucrose with time since the start of the feeding session, this confound was removed in Experiment 3, and, similar to the previous experiments, it was found that a second reduction in palatability occurred after 60min. Therefore, the effect was dependent only on the time since the previous exposure to sucrose, demonstrating that sucrose consumption initiates a biphasic reduction in palatability. The reduction in lick cluster size after 60min was not typically accompanied by a reduction in consumption suggesting that the more slowly developing reduction in the palatability measure was not simply a consequence of post-ingestive satiety. The cause of the biphasic change is not yet clear, and may reflect independent processes or the consequence of a single process that initiates multiple changes in palatability over time.","2018","2019-02-27 20:57:11","2019-02-27 20:57:11","","129 - 134","","","184","","","","","","","","","","","","","","","","","","","","","adaptation; Feeding behavior; Hedonia; Licking; Memory; Satiety","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"CGX9G4FE","journalArticle","2018","Andersen, Cristine Scattolin; Horta, Rogério Lessa; Pattussi, Marcos Pascoal","Access to information in school and the use of psychoactive substances in Brazilian students – A multilevel study","Addictive Behaviors Reports","","2352-8532","https://doi.org/10.1016/j.abrep.2018.07.004","http://www.sciencedirect.com/science/article/pii/S235285321830021X","Introduction Use of tobacco, alcohol and other drugs can be considered a global health problem, which typically begins in adolescence. Unsupervised access to information may arouse the adolescent's interest and predispose the use of drugs. Methodology This is a cross-sectional study using data from National School-based Health Survey (PeNSE, 2012), with sample of 109,104 Brazilian students in 42.717 schools. Outcomes were: self-reported use of alcohol, tobacco, and other drugs in the past 30 days. Main exposures were contextual and included: library and media resources availability, computer room and internet available at school. Data analysis included multilevel logistic regression. Results Prevalence of alcohol use was 25.2% (IC95% 24.7–25.6), tobacco use was 5.3% (IC95% 5.1–5.5) and use of other drugs was 2.6% (IC95% 2.5–2.7). Multilevel analysis showed that recent use of alcohol and tobacco was associated to the presence of computer room and internet, while the use of other drugs presented an association with all media. Conclusion Results indicate that supervision in access to information and communication resources may play a role on the prevention of alcohol, tobacco and other drugs use by students.","2018","2019-02-27 20:57:35","2019-02-27 20:57:35","","66 - 70","","","8","","","","","","","","","","","","","","","","","","","","","Adolescents; Alcohol; Education; Multilevel modelling; Tobacco","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U4QMC29N","journalArticle","2018","Berrian, Amanda M.; Smith, Martin H.; Rooyen, Jacques van; Martínez-López, Beatriz; Plank, Monica N.; Smith, Woutrina A.; Conrad, Patricia A.","A community-based One Health education program for disease risk mitigation at the human-animal interface","One Health","","2352-7714","https://doi.org/10.1016/j.onehlt.2017.11.002","http://www.sciencedirect.com/science/article/pii/S2352771417300289","The interface between humans, domestic animals, and wildlife has been implicated in the emergence of infectious diseases and the persistence of endemic human and animal diseases. For individuals who reside at this interface, particularly those in low-resource settings, the development of disease risk assessment and mitigation skills must be prioritized. Using a community engagement-One Health approach, we implemented a training program aimed at advancing these skills among agro-pastoralists living adjacent to conservation areas in South Africa. The program included professional development of local facilitators who then conducted workshops with community members. Workshops used a series of experiential, inquiry-based activities to teach participants the concepts of pathogen transmission and disease risk assessment and mitigation. The program was implemented over four weeks with 10 facilitators and 78 workshop participants. We conducted a within-subjects experimental study using a mixed methods design to evaluate the program in terms of facilitator and participant One Health knowledge and practices. Quantitative data included pre/post written assessments; qualitative data included focus group discussions, semi-structured interviews, and pre/post photographs. Mean post-test scores of facilitators increased by 17% (p=0.0078). For workshop participants, improvements in knowledge were more likely for females than males (OR=7.315, 95% CI=2.258–23.705, p=0.0009) and participants with a higher versus lower education level, albeit borderline non-significant (OR=4.781, 95% CI=0.942–24.264, p=0.0590). Qualitative analysis revealed the implementation of risk mitigation strategies by 98% (60/61) of workshop participants during the three-month follow-up and included improved personal and domestic hygiene practices and enhanced animal housing. Although further evaluation is recommended, this program may be appropriate for consideration as a scalable approach by which to mitigate human and animal infectious disease risk in high-risk/low-resource communities.","2018","2019-02-27 20:57:34","2019-02-27 20:57:34","","9 - 20","","","5","","","","","","","","","","","","","","","","","","","","","community engagement; experiential learning; Health promotion; infectious disease; Program evaluation; Risk assessment","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SZVE2EQI","conferencePaper","2018","DeLyser, Leigh Ann","A Community Model of CSforALL: Analysis of Community Commitments for CS Education","Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education","978-1-4503-5707-4","","10.1145/3197091.3197142","http://doi.acm.org/10.1145/3197091.3197142","","2018","2019-02-27 20:48:37","2019-02-27 20:48:37","","99–104","","","","","","","ITiCSE 2018","","","","ACM","New York, NY, USA","","","","","","","","event-place: Larnaca, Cyprus","","","","csforall; K-12 CS Education","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4XQR52WF","journalArticle","2018","Arnatovich, Y. L.; Wang, L.; Ngo, N. M.; Soh, C.","A Comparison of Android Reverse Engineering Tools via Program Behaviors Validation Based on Intermediate Languages Transformation","IEEE Access","","2169-3536","10.1109/ACCESS.2018.2808340","","","2018","2019-02-27 21:11:59","2019-02-27 21:11:59","","12382-12394","","","6","","","","","","","","","","","","","","","","","","","","","Android applications; Android (operating system); Android reverse engineering tools; Android reversing tools; Androids; Apktool; Dalvik bytecode; dex2jar; Event-based testing; executable source; humanoid robots; intermediate languages; intermediate languages transformation; Jasmin IL; Java; Jimple IL; memory management; mobile computing; program analysis performance; program behaviors validation; program behaviours; program diagnostics; program testing; random-event-based test; reliability; reverse engineering; reverse engineering technique; Smali IL; software tools; Soot; statistical test; statistical testing; statistics; testing; Tools; Virtual machining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JE9BPZ2C","conferencePaper","2018","Hirt, Franziska S.; Moser, Ivan; Werlen, Egon; Imhof, Christof; Bergamin, Per","A Comparison of Students' Emotional Self-reports with Automated Facial Emotion Recognition in a Reading Situation","Proceedings of the Sixth International Conference on Technological Ecosystems for Enhancing Multiculturality","978-1-4503-6518-5","","10.1145/3284179.3284230","http://doi.acm.org/10.1145/3284179.3284230","","2018","2019-02-27 20:48:22","2019-02-27 20:48:22","","320–327","","","","","","","TEEM'18","","","","ACM","New York, NY, USA","","","","","","","","event-place: Salamanca, Spain","","","","Adaptive Learning; emotional self-reports; epistemic emotions; FaceReader; facial emotion recognition","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B4WZZ2FF","conferencePaper","2018","Reed, Byron D.","Active Learning Success by Partnering Across the Institution","Proceedings of the 2018 ACM on SIGUCCS Annual Conference","978-1-4503-5582-7","","10.1145/3235715.3235718","http://doi.acm.org/10.1145/3235715.3235718","","2018","2019-02-27 20:48:29","2019-02-27 20:48:29","","69–75","","","","","","","SIGUCCS '18","","","","ACM","New York, NY, USA","","","","","","","","event-place: Orlando, Florida, USA","","","","active learning; audio visual; classrooms; development; engagement; library; mobile furniture; mobility; training; wireless display","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NQZNCJUS","conferencePaper","2019","Kurkovsky, Stan; Ludi, Stephanie; Clark, Linda","Active Learning with LEGO for Software Requirements","Proceedings of the 50th ACM Technical Symposium on Computer Science Education","978-1-4503-5890-3","","10.1145/3287324.3287444","http://doi.acm.org/10.1145/3287324.3287444","","2019","2019-02-27 20:48:06","2019-02-27 20:48:06","","218–224","","","","","","","SIGCSE '19","","","","ACM","New York, NY, USA","","","","","","","","event-place: Minneapolis, MN, USA","","","","active learning; case studies; lego; Software engineering; software requirements","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RWUDJN68","conferencePaper","2018","Dodson, Samuel; Roll, Ido; Fong, Matthew; Yoon, Dongwook; Harandi, Negar M.; Fels, Sidney","Active Viewing: A Study of Video Highlighting in the Classroom","Proceedings of the 2018 Conference on Human Information Interaction & Retrieval","978-1-4503-4925-3","","10.1145/3176349.3176889","http://doi.acm.org/10.1145/3176349.3176889","","2018","2019-02-27 20:49:05","2019-02-27 20:49:05","","237–240","","","","","","","CHIIR '18","","","","ACM","New York, NY, USA","","","","","","","","event-place: New Brunswick, NJ, USA","","","","active viewing; highlighting; Learning; video search","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QHICFWJB","conferencePaper","2019","Davis, James; Lachney, Michael; Zatz, Zoe; Babbitt, William; Eglash, Ron","A Cultural Computing Curriculum","Proceedings of the 50th ACM Technical Symposium on Computer Science Education","978-1-4503-5890-3","","10.1145/3287324.3287439","http://doi.acm.org/10.1145/3287324.3287439","","2019","2019-02-27 20:48:13","2019-02-27 20:48:13","","1171–1175","","","","","","","SIGCSE '19","","","","ACM","New York, NY, USA","","","","","","","","event-place: Minneapolis, MN, USA","","","","computer science; culturally situated design tools; culture; curriculum; design; high school; introductory; mixed-method; pilot","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
